Mã chứng khoán,Sàn giao dịch,Tên công ty,Ngành nghề
HAS,HSX,Công ty Cổ phần Hacisco,Xây dựng và Vật liệu
HAT,HNX,Công ty Cổ phần Thương mại Bia Hà Nội,Bia và đồ uống
HAV,UPCOM,Công ty Cổ phần Rượu Hapro,Bia và đồ uống
HAX,HSX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,Ô tô và phụ tùng
HBC,UPCOM,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Xây dựng và Vật liệu
HBD,UPCOM,Công ty Cổ phần Bao bì PP Bình Dương,Hàng công nghiệp
HBH,UPCOM,Công ty Cổ phần HABECO - Hải Phòng,Bia và đồ uống
HBS,HNX,Công ty Cổ phần Chứng khoán Hòa Bình,Dịch vụ tài chính
HC1,UPCOM,Công ty Cổ phần Xây dựng số 1 Hà Nội,Xây dựng và Vật liệu
HC3,UPCOM,Công ty Cổ phần Xây dựng số 3 Hải Phòng,Xây dựng và Vật liệu
HCB,UPCOM,Công ty Cổ phần Dệt may 29/3,Hàng cá nhân
HCC,HNX,Công ty Cổ phần Bê tông Hòa Cầm - Intimex,Xây dựng và Vật liệu
HCD,HSX,Công ty Cổ phần Đầu tư Sản xuất và Thương mại HCD,Hóa chất
HCI,UPCOM,Công ty Cổ phần Đầu tư - Xây dựng Hà Nội,Xây dựng và Vật liệu
HCM,HSX,Công ty Cổ phần Chứng khoán Thành phố Hồ Chí Minh,Dịch vụ tài chính
HCT,HNX,Công ty Cổ phần Thương mại - Dịch vụ - Vận tải Xi măng Hải Phòng,Vận tải
HD2,UPCOM,Công ty Cổ phần Đầu tư phát triển nhà HUD2,Bất động sản
HD6,UPCOM,Công ty Cổ phần Đầu tư và Phát triển nhà số 6 Hà Nội,Bất động sản
HD8,UPCOM,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD8,Bất động sản
HDA,HNX,Công ty Cổ phần Hãng sơn Đông Á,Xây dựng và Vật liệu
HDB,HSX,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng
HDC,HSX,Công ty Cổ phần Phát triển Nhà Bà Rịa Vũng Tàu,Bất động sản
HDG,HSX,Công ty Cổ phần Tập đoàn Hà Đô,Bất động sản
HDM,UPCOM,Công ty Cổ phần Dệt May Huế,Hàng cá nhân
HDO,UPCOM,Công ty Cổ phần Hưng Đạo Container,Hàng công nghiệp
HDP,UPCOM,Công ty Cổ phần Dược Hà Tĩnh,Dược phẩm
HDS,UPCOM,Công ty Cổ phần Giống cây trồng Hải Dương,Sản xuất thực phẩm
HDW,UPCOM,Công ty Cổ phần Kinh doanh Nước sạch Hải Dương,Nước & Khí đốt
HEC,UPCOM,Công ty Cổ phần Tư vấn xây dựng Thủy Lợi II,Tư vấn & Hỗ trợ Kinh doanh
HEJ,UPCOM,Tổng Công ty Tư vấn Xây dựng Thủy Lợi Việt Nam - CTCP,Xây dựng và Vật liệu
HEP,UPCOM,Công ty Cổ phần Môi trường và Công trình đô thị Huế,Tư vấn & Hỗ trợ Kinh doanh
HES,UPCOM,Công ty Cổ phần Dịch vụ Giải trí Hà Nội,Du lịch & Giải trí
HEV,HNX,Công ty Cổ phần Sách Đại học - Dạy nghề,Truyền thông
HFB,UPCOM,Công ty Cổ phần Công trình Cầu phà Thành phố Hồ Chí Minh,Xây dựng và Vật liệu
HFC,UPCOM,Công ty Cổ phần Xăng dầu HFC,Nước & Khí đốt
HFX,UPCOM,Công ty Cổ phần Sản xuất - Xuất nhập khẩu Thanh Hà,Bán lẻ
HGM,HNX,Công ty Cổ phần Cơ khí và Khoáng sản Hà Giang,Khai khoáng
HGT,UPCOM,Công ty Cổ phần Du lịch Hương Giang,Du lịch & Giải trí
HHC,HNX,Công ty Cổ phần Bánh kẹo Hải Hà,Sản xuất thực phẩm
HHG,UPCOM,Công ty Cổ phần Hoàng Hà,Du lịch & Giải trí
HHN,UPCOM,Công ty Cổ phần Vận tải và Dịch vụ Hàng hóa Hà Nội,Vận tải
HHP,HSX,Công ty Cổ phần HHP Global,Lâm nghiệp và Giấy
HHS,HSX,Công ty Cổ phần Đầu tư Dịch vụ Hoàng Huy,Ô tô và phụ tùng
HHV,HSX,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Xây dựng và Vật liệu
HID,HSX,Công ty Cổ phần Halcom Vietnam,Xây dựng và Vật liệu
HIG,UPCOM,Công ty Cổ phần Tập đoàn HIPT,Phần mềm & Dịch vụ Máy tính
HII,HSX,Công ty Cổ phần An Tiến Industries,Hóa chất
HIO,UPCOM,Công ty Cổ Phần Helio Energy,Sản xuất & Phân phối Điện
HJC,UPCOM,Công ty Cổ phần Hoà Việt,Thuốc lá
HJS,HNX,Công ty Cổ phần Thủy điện Nậm Mu,Sản xuất & Phân phối Điện
HKB,UPCOM,Công ty Cổ phần Nông nghiệp và Thực phẩm Hà Nội - Kinh Bắc,Sản xuất thực phẩm
HKT,HNX,Công ty Cổ phần Đầu tư QP Xanh,Bia và đồ uống
HLA,UPCOM,Công ty Cổ phần Hữu Liên Á Châu,Kim loại
HLB,UPCOM,Công ty Cổ phần Bia và Nước giải khát Hạ Long,Bia và đồ uống
HLC,HNX,Công ty Cổ phần Than Hà Lầm - Vinacomin,Khai khoáng
HLD,HNX,Công ty Cổ phần Đầu tư và Phát triển Bất động sản HUDLAND,Bất động sản
HLO,UPCOM,Công Ty Cổ Phần Công Nghệ Ha Lô,Điện tử & Thiết bị điện
HLS,UPCOM,Công ty Cổ phần Sứ kỹ thuật Hoàng Liên Sơn,Điện tử & Thiết bị điện
HLT,UPCOM,Công ty Cổ phần Dệt may Hoàng Thị Loan,Hàng cá nhân
HLY,UPCOM,Công ty Cổ phần Gốm xây dựng Yên Hưng,Xây dựng và Vật liệu
HMC,HSX,Công ty Cổ phần Kim khí Thành phố Hồ Chí Minh - VNSTEEL,Kim loại
HMD,UPCOM,Công ty Cổ phần Hóa chất Minh Đức,Hóa chất
HMG,UPCOM,Công ty Cổ phần Kim Khí Hà Nội - VNSTEEL,Kim loại
HMH,HNX,Công ty Cổ phần Hải Minh,Vận tải
HMR,HNX,Công ty cổ phần Đá Hoàng Mai,Xây dựng và Vật liệu
HMS,UPCOM,Công ty Cổ phần Xây dựng Bảo tàng Hồ Chí Minh,Xây dựng và Vật liệu
HNA,HSX,Công ty Cổ phần Thủy điện Hủa Na,Sản xuất & Phân phối Điện
HNB,UPCOM,Công ty Cổ phần Bến xe Hà Nội,Vận tải
HND,UPCOM,Công ty Cổ phần Nhiệt điện Hải Phòng,Sản xuất & Phân phối Điện
HNF,UPCOM,Công ty Cổ phần Thực phẩm Hữu Nghị,Sản xuất thực phẩm
HNG,UPCOM,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Sản xuất thực phẩm
HNI,UPCOM,Công ty Cổ phần May Hữu Nghị,Hàng cá nhân
HNM,UPCOM,Công ty Cổ phần Sữa Hà Nội,Sản xuất thực phẩm
HNP,UPCOM,Công ty Cổ phần Hanel Xốp Nhựa,Hóa chất
HNR,UPCOM,Công ty Cổ phần Rượu và Nước Giải Khát Hà Nội,Bia và đồ uống
HOM,HNX,Công ty Cổ phần Xi măng VICEM Hoàng Mai,Xây dựng và Vật liệu
HOT,UPCOM,Công ty Cổ phần Du lịch - Dịch vụ Hội An,Du lịch & Giải trí
HPB,UPCOM,Công ty Cổ phần Bao bì PP,Hàng công nghiệp
HPD,UPCOM,Công ty Cổ phần Thủy điện Đăk Đoa,Sản xuất & Phân phối Điện
HPG,HSX,Công ty Cổ phần Tập đoàn Hòa Phát,Kim loại
HPH,UPCOM,Công ty Cổ phần Hóa Chất Hưng Phát Hà Bắc,Hóa chất
HPI,UPCOM,Công ty Cổ phần Khu công nghiệp Hiệp Phước,Bất động sản
HPM,UPCOM,Công ty Cổ phần Xây dựng Thương mại và Khoáng sản Hoàng Phúc,Khai khoáng
HPP,UPCOM,Công ty Cổ phần Sơn Hải Phòng,Xây dựng và Vật liệu
HPT,UPCOM,Công ty Cổ phần Dịch vụ Công nghệ Tin học HPT,Phần mềm & Dịch vụ Máy tính
HPW,UPCOM,Công ty Cổ phần Cấp nước Hải Phòng,Nước & Khí đốt
HPX,HSX,Công ty Cổ phần Đầu tư Hải Phát,Bất động sản
HQC,HSX,Công ty Cổ phần Tư vấn - Thương mại - Dịch vụ Địa ốc Hoàng Quân,Bất động sản
HRB,UPCOM,Công ty Cổ phần Harec Đầu tư và Thương Mại,Bất động sản
HRC,HSX,Công ty Cổ phần Cao su Hòa Bình,Hóa chất
HSA,UPCOM,Công ty Cổ phần HESTIA,Tư vấn & Hỗ trợ Kinh doanh
HSG,HSX,Công ty Cổ phần Tập đoàn Hoa Sen,Kim loại
HSI,UPCOM,Công ty Cổ phần Vật tư Tổng hợp và Phân bón Hóa sinh,Hóa chất
HSL,HSX,Công ty Cổ phần Đầu tư Phát triển Thực phẩm Hồng Hà,Sản xuất thực phẩm
HSM,UPCOM,Tổng Công ty Cổ phần Dệt May Hà Nội,Hàng cá nhân
HSP,UPCOM,Công ty Cổ phần Sơn Tổng hợp Hà Nội,Xây dựng và Vật liệu
HSV,UPCOM,Công ty Cổ phần Tập đoàn HSV Việt Nam,Kim loại
HT1,HSX,Công ty Cổ phần Xi măng VICEM Hà Tiên,Xây dựng và Vật liệu
HTC,HNX,Công ty Cổ phần Thương mại Hóc Môn,Nước & Khí đốt
HTE,UPCOM,Công ty Cổ phần Đầu tư Kinh doanh Điện lực Thành phố Hồ Chí Minh,Sản xuất & Phân phối Điện
HTG,HSX,Tổng Công ty Cổ phần Dệt may Hòa Thọ,Hàng cá nhân
HTI,HSX,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,Xây dựng và Vật liệu
HTL,HSX,Công ty Cổ phần Kỹ thuật và Ô tô Trường Long,Ô tô và phụ tùng
HTM,UPCOM,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,Bán lẻ
HTN,HSX,Công ty Cổ phần Hưng Thịnh Incons,Bất động sản
HTP,UPCOM,Công ty Cổ phần In Sách Giáo Khoa Hòa Phát,Truyền thông
HTT,UPCOM,Công ty Cổ phần Thương mại Hà Tây,Bán lẻ
HTV,HSX,Công ty Cổ phần Logistics Vicem,Vận tải
HU1,HSX,Công ty Cổ phần Đầu tư và Xây dựng HUD1,Xây dựng và Vật liệu
HU3,UPCOM,Công ty Cổ phần Đầu tư và Xây dựng HUD3,Xây dựng và Vật liệu
HU4,UPCOM,Công ty Cổ phần Đầu tư và Xây dựng HUD4,Xây dựng và Vật liệu
HU6,UPCOM,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị HUD6,Bất động sản
HUB,HSX,Công ty Cổ phần Xây lắp Thừa Thiên Huế,Xây dựng và Vật liệu
HUG,UPCOM,Tổng công ty May Hưng Yên - Công ty Cổ phần,Hàng cá nhân
HUT,HNX,Công ty Cổ phần Tasco,Ô tô và phụ tùng
HVA,UPCOM,Công ty Cổ phần Đầu tư HVA,Dịch vụ tài chính
HVG,UPCOM,Công ty Cổ phần Hùng Vương,Sản xuất thực phẩm
HVH,HSX,Công ty Cổ phần Đầu tư và Công nghệ HVC,Xây dựng và Vật liệu
HVN,HSX,Tổng Công ty Hàng không Việt Nam - CTCP,Du lịch & Giải trí
HVT,HNX,Công ty Cổ phần Hóa chất Việt Trì,Hóa chất
HVX,HSX,Công ty Cổ phần Xi măng Vicem Hải Vân,Xây dựng và Vật liệu
HWS,UPCOM,Công ty Cổ phần Cấp nước Huế,Nước & Khí đốt
IBC,UPCOM,Công ty Cổ phần Đầu tư APAX Holdings,Dịch vụ tài chính
IBD,UPCOM,Công ty Cổ phần In Tổng hợp Bình Dương,Truyền thông
ICC,UPCOM,Công ty Cổ phần Xây dựng công nghiệp,Xây dựng và Vật liệu
ICF,UPCOM,Công ty Cổ phần Đầu tư - Thương mại - Thuỷ sản,Sản xuất thực phẩm
ICG,HNX,Công ty Cổ phần Xây dựng Sông Hồng,Xây dựng và Vật liệu
ICI,UPCOM,Công ty Cổ phần Đầu tư và Xây dựng Công nghiệp,Xây dựng và Vật liệu
ICN,UPCOM,Công ty Cổ phần Đầu tư Xây dựng Dầu khí IDICO,Xây dựng và Vật liệu
ICT,HSX,Công ty Cổ phần Viễn thông - Tin học Bưu điện,Phần mềm & Dịch vụ Máy tính
IDC,HNX,Tổng Công ty IDICO - CTCP,Bất động sản
IDI,HSX,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,Sản xuất thực phẩm
IDJ,HNX,Công ty Cổ phần Đầu tư IDJ Việt Nam,Bất động sản
IDP,UPCOM,Công ty Cổ phần Sữa Quốc tế LOF,Sản xuất thực phẩm
IDV,HNX,Công ty Cổ phần Phát triển Hạ tầng Vĩnh Phúc,Bất động sản
IFS,UPCOM,Công ty Cổ phần Thực phẩm Quốc tế,Bia và đồ uống
IHK,UPCOM,Công ty Cổ phần In Hàng Không,Truyền thông
IJC,HSX,Công ty Cổ phần Phát triển Hạ tầng Kỹ thuật,Bất động sản
ILA,UPCOM,Công ty Cổ phần ILA,Sản xuất thực phẩm
ILB,HSX,Công ty Cổ phần ICD Tân Cảng - Long Bình,Vận tải
ILC,UPCOM,Công ty Cổ phần Hợp tác lao động với nước ngoài,Tư vấn & Hỗ trợ Kinh doanh
ILS,UPCOM,Công ty Cổ phần Đầu tư Thương mại và Dịch vụ Quốc tế,Hàng công nghiệp
IME,UPCOM,Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,Công nghiệp nặng
IMP,HSX,Công ty Cổ phần Dược phẩm IMEXPHARM,Dược phẩm
IN4,UPCOM,Công ty Cổ phần In số 4,Truyền thông
INC,HNX,Công ty Cổ phần Tư vấn Đầu tư IDICO,Xây dựng và Vật liệu
ING,UPCOM,Công ty Cổ phần Đầu Tư Và Phát Triển Xây Dựng,Xây dựng và Vật liệu
INN,HNX,Công ty Cổ phần Bao bì và In Nông nghiệp,Hàng công nghiệp
IPA,HNX,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,Tư vấn & Hỗ trợ Kinh doanh
IRC,UPCOM,Công ty Cổ phần Cao su Công nghiệp,Hóa chất
ISG,UPCOM,Công ty Cổ phần Vận tải biển và Hợp tác lao động Quốc Tế,Vận tải
ISH,UPCOM,Công ty Cổ phần Thủy điện Srok Phu Miêng IDICO,Sản xuất & Phân phối Điện
IST,UPCOM,Công ty Cổ phần ICD Tân Cảng Sóng Thần,Vận tải
ITA,UPCOM,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,Bất động sản
ITC,HSX,Công ty Cổ phần Đầu tư - Kinh doanh nhà,Bất động sản
ITD,HSX,Công ty Cổ phần Công nghệ Tiên Phong,Phần mềm & Dịch vụ Máy tính
ITQ,HNX,Công ty Cổ phần Tập đoàn Thiên Quang,Kim loại
ITS,UPCOM,"Công ty Cổ phần Đầu tư, Thương mại và Dịch vụ - Vinacomin",Công nghiệp nặng
IVS,HNX,Công ty Cổ phần Chứng khoán Guotai Junan (Việt Nam),Dịch vụ tài chính
JOS,UPCOM,Công ty Cổ phần Chế biến Thủy sản Xuất khẩu Minh Hải,Sản xuất thực phẩm
JVC,HSX,Công ty Cổ phần Đầu tư và Phát triển Y tế Việt Nhật,Thiết bị và Dịch vụ Y tế
KAC,UPCOM,Công ty Cổ phần Đầu tư Địa ốc Khang An,Bất động sản
KBC,HSX,Tổng Công ty Phát triển Đô thị Kinh Bắc,Bất động sản
KCB,UPCOM,Công ty Cổ phần Khoáng Sản và Luyện Kim Cao Bằng,Khai khoáng
KCE,UPCOM,Công ty Cổ phần Bê tông Ly tâm Điện lực Khánh Hòa,Xây dựng và Vật liệu
KDC,HSX,Công ty Cổ phần Tập đoàn KIDO,Sản xuất thực phẩm
KDH,HSX,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Bất động sản
KDM,HNX,Công ty Cổ phần Tập đoàn GCL,Xây dựng và Vật liệu
KGM,UPCOM,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Bán lẻ
KHD,UPCOM,"Công ty Cổ phần Khai thác, Chế biến Khoáng sản Hải Dương",Khai khoáng
KHG,HSX,Công ty Cổ phần Tập đoàn Khải Hoàn Land,Bất động sản
KHL,UPCOM,Công ty Cổ phần Khoáng sản và Vật liệu Xây dựng Hưng Long,Xây dựng và Vật liệu
KHP,HSX,Công ty Cổ phần Điện lực Khánh Hòa,Sản xuất & Phân phối Điện
KHS,HNX,Công ty Cổ phần Kiên Hùng,Sản xuất thực phẩm
KHW,UPCOM,Công ty Cổ phần Cấp thoát nước Khánh Hòa,Nước & Khí đốt
KIP,UPCOM,Công ty Cổ phần K.I.P Việt Nam,Điện tử & Thiết bị điện
KKC,HNX,Công ty Cổ phần Tập đoàn Thành Thái,Kim loại
KLB,UPCOM,Ngân hàng Thương mại Cổ phần Kiên Long,Ngân hàng
KLF,UPCOM,Công ty Cổ phần Đầu tư Thương mại và Xuất nhập khẩu CFS,Du lịch & Giải trí
KMR,HSX,Công ty Cổ phần Mirae,Hàng cá nhân
KMT,HNX,Công ty Cổ phần Kim khí Miền Trung,Kim loại
KOS,HSX,Công ty Cổ phần KOSY,Bất động sản
KPF,HSX,Công ty Cổ phần Đầu tư Tài sản KOJI,Xây dựng và Vật liệu
KSB,HSX,Công ty Cổ phần Khoáng sản và Xây dựng Bình Dương,Khai khoáng
KSD,HNX,Công ty Cổ phần Đầu tư DNA,Hàng gia dụng
KSF,HNX,Công ty Cổ phần Tập đoàn Sunshine,Bất động sản
KSH,UPCOM,Công ty Cổ phần Damac GLS,Khai khoáng
KSQ,HNX,Công ty Cổ phần CNC Capital Việt Nam,Xây dựng và Vật liệu
KST,HNX,Công ty Cổ phần KASATI,Thiết bị và Phần cứng
KSV,HNX,Tổng Công ty Khoáng sản TKV - Công ty Cổ phần,Khai khoáng
KTC,UPCOM,Công ty Cổ phần Thương mại Kiên Giang,Sản xuất thực phẩm
KTL,UPCOM,Công ty Cổ phần Kim khí Thăng Long,Kim loại
KTS,HNX,Công ty Cổ phần Đường Kon Tum,Sản xuất thực phẩm
KTT,UPCOM,Công ty Cổ phần Tập đoàn Đầu tư KTT,Xây dựng và Vật liệu
KVC,UPCOM,Công ty Cổ phần Sản xuất Xuất nhập khẩu Inox Kim Vĩ,Kim loại
KWA,UPCOM,Công ty Cổ phần Cấp thoát nước và Môi trường Kiến Tường,Nước & Khí đốt
L10,HSX,Công ty Cổ phần Lilama 10,Công nghiệp nặng
L12,UPCOM,Công ty Cổ phần Licogi 12,Xây dựng và Vật liệu
L14,HNX,Công ty Cổ phần Licogi 14,Xây dựng và Vật liệu
L18,HNX,Công ty Cổ phần Đầu tư và Xây dựng số 18,Xây dựng và Vật liệu
L35,UPCOM,Công ty Cổ phần Cơ khí Lắp máy Lilama,Công nghiệp nặng
L40,HNX,Công ty Cổ phần Đầu tư và Xây dựng 40,Xây dựng và Vật liệu
L43,UPCOM,Công ty Cổ phần Lilama 45.3,Xây dựng và Vật liệu
L44,UPCOM,Công ty Cổ phần Lilama 45.4,Công nghiệp nặng
L45,UPCOM,Công ty Cổ phần Lilama 45.1,Xây dựng và Vật liệu
L61,UPCOM,Công ty Cổ phần Lilama 69-1,Công nghiệp nặng
L62,UPCOM,Công ty Cổ phần Lilama 69 - 2,Công nghiệp nặng
L63,UPCOM,Công ty Cổ phần Lilama 69-3,Công nghiệp nặng
LAF,HSX,Công ty Cổ phần Chế biến Hàng Xuất khẩu Long An,Sản xuất thực phẩm
LAI,UPCOM,Công ty Cổ phần Đầu tư Xây dựng Long An IDICO,Xây dựng và Vật liệu
LAS,HNX,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,Hóa chất
LAW,UPCOM,Công ty Cổ phần Cấp thoát nước Long An,Nước & Khí đốt
LBE,HNX,Công ty Cổ phần Thương mại và Dịch vụ LVA,Truyền thông
LBM,HSX,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,Xây dựng và Vật liệu
LCC,UPCOM,Công ty Cổ phần Xi măng Hồng Phong,Xây dựng và Vật liệu
LCD,HNX,Công ty Cổ phần Lắp máy - Thí nghiệm cơ điện,Xây dựng và Vật liệu
LCG,HSX,Công ty Cổ phần Lizen,Xây dựng và Vật liệu
LCM,UPCOM,Công ty Cổ phần Khai thác và Chế biến Khoáng sản Lào Cai,Khai khoáng
LCS,UPCOM,Công ty Cổ phần Licogi 16.6,Xây dựng và Vật liệu
LDG,HSX,Công ty Cổ phần Đầu tư LDG,Bất động sản
LDP,HNX,Công ty Cổ phần Dược Lâm Đồng - Ladophar,Dược phẩm
LDW,UPCOM,Công ty Cổ phần Cấp thoát nước Lâm Đồng,Nước & Khí đốt
LEC,HSX,Công ty Cổ phần Bất động sản Điện lực Miền Trung,Bất động sản
